efficiency,treatment,experiment
0.7406289033698075,0,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
0.4841123085292788,0,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
-0.5419540708328359,1,Emotion Labeling
0.4841123085292788,0,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
-0.2854374759923072,0,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
-0.028920881151778526,0,Emotion Labeling
-1.054987260513893,1,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
-0.028920881151778526,0,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
-1.5680204501949504,0,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
-0.2854374759923072,0,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
-0.2854374759923072,1,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
-0.5419540708328359,0,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
0.22759571368875012,0,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
-0.5419540708328359,0,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
-0.7984706656733644,0,Emotion Labeling
-1.054987260513893,0,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
-0.2854374759923072,0,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
-0.2854374759923072,0,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
0.22759571368875012,0,Emotion Labeling
-0.2854374759923072,1,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
-0.028920881151778526,0,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
0.4841123085292788,1,Emotion Labeling
0.7406289033698075,0,Emotion Labeling
