correct,treatment,user_id,problem_id,experiment
1,0,169659,1355457.0,Emotion Labeling
1,0,169659,1355456.0,Emotion Labeling
1,1,286206,1355456.0,Emotion Labeling
1,1,286206,1355457.0,Emotion Labeling
1,0,288330,1355456.0,Emotion Labeling
0,0,288330,1355457.0,Emotion Labeling
0,0,293382,1355457.0,Emotion Labeling
0,0,293382,1355456.0,Emotion Labeling
1,0,293386,1355457.0,Emotion Labeling
0,0,293386,1355456.0,Emotion Labeling
1,1,293501,1355457.0,Emotion Labeling
1,1,293501,1355456.0,Emotion Labeling
0,1,293504,1355457.0,Emotion Labeling
0,1,293504,1355456.0,Emotion Labeling
1,1,293527,1355457.0,Emotion Labeling
1,1,293527,1355456.0,Emotion Labeling
1,0,293550,1355457.0,Emotion Labeling
1,0,293550,1355456.0,Emotion Labeling
1,1,293635,1355457.0,Emotion Labeling
1,1,293635,1355456.0,Emotion Labeling
1,0,293658,1355457.0,Emotion Labeling
1,0,293658,1355456.0,Emotion Labeling
1,0,293662,1355456.0,Emotion Labeling
1,0,293662,1355457.0,Emotion Labeling
1,1,293669,1355457.0,Emotion Labeling
1,1,293669,1355456.0,Emotion Labeling
1,1,293703,1355457.0,Emotion Labeling
1,1,293703,1355456.0,Emotion Labeling
0,0,293709,1355456.0,Emotion Labeling
0,0,293709,1355457.0,Emotion Labeling
1,1,293715,1355457.0,Emotion Labeling
1,1,293715,1355456.0,Emotion Labeling
1,1,293717,1355456.0,Emotion Labeling
1,1,293717,1355457.0,Emotion Labeling
0,1,294068,1355456.0,Emotion Labeling
1,1,294068,1355457.0,Emotion Labeling
1,1,326809,1355457.0,Emotion Labeling
1,1,326809,1355456.0,Emotion Labeling
0,0,326967,1355456.0,Emotion Labeling
1,0,326967,1355457.0,Emotion Labeling
1,0,326970,1355456.0,Emotion Labeling
1,0,326970,1355457.0,Emotion Labeling
1,1,326976,1355457.0,Emotion Labeling
1,1,326976,1355456.0,Emotion Labeling
0,1,326977,1355457.0,Emotion Labeling
0,1,326977,1355456.0,Emotion Labeling
1,1,326982,1355456.0,Emotion Labeling
0,1,326982,1355457.0,Emotion Labeling
0,1,326986,1355456.0,Emotion Labeling
1,1,326986,1355457.0,Emotion Labeling
0,0,327307,1355456.0,Emotion Labeling
0,0,327307,1355457.0,Emotion Labeling
1,0,327320,1355456.0,Emotion Labeling
1,0,327320,1355457.0,Emotion Labeling
1,1,327365,1355456.0,Emotion Labeling
1,1,327365,1355457.0,Emotion Labeling
1,0,327378,1355456.0,Emotion Labeling
1,0,327378,1355457.0,Emotion Labeling
0,0,331702,1355456.0,Emotion Labeling
1,0,331702,1355457.0,Emotion Labeling
1,0,333734,1355457.0,Emotion Labeling
0,0,333734,1355456.0,Emotion Labeling
1,0,333737,1355457.0,Emotion Labeling
1,0,333737,1355456.0,Emotion Labeling
0,1,333740,1355456.0,Emotion Labeling
1,1,333740,1355457.0,Emotion Labeling
1,0,333741,1355457.0,Emotion Labeling
0,0,333741,1355456.0,Emotion Labeling
0,1,333743,1355456.0,Emotion Labeling
0,1,333743,1355457.0,Emotion Labeling
1,1,333744,1355456.0,Emotion Labeling
1,1,333744,1355457.0,Emotion Labeling
0,0,334126,1355456.0,Emotion Labeling
1,0,334126,1355457.0,Emotion Labeling
1,1,334127,1355456.0,Emotion Labeling
1,1,334127,1355457.0,Emotion Labeling
1,0,334130,1355457.0,Emotion Labeling
1,0,334130,1355456.0,Emotion Labeling
0,0,334131,1355456.0,Emotion Labeling
1,0,334131,1355457.0,Emotion Labeling
1,0,334132,1355457.0,Emotion Labeling
0,0,334132,1355456.0,Emotion Labeling
1,0,337815,1355456.0,Emotion Labeling
1,0,337815,1355457.0,Emotion Labeling
1,0,337850,1355457.0,Emotion Labeling
1,0,337850,1355456.0,Emotion Labeling
0,0,338047,1355457.0,Emotion Labeling
0,0,338047,1355456.0,Emotion Labeling
0,0,338241,1355457.0,Emotion Labeling
1,0,338241,1355456.0,Emotion Labeling
1,0,338426,1355456.0,Emotion Labeling
1,0,338426,1355457.0,Emotion Labeling
1,0,339378,1355456.0,Emotion Labeling
1,0,339378,1355457.0,Emotion Labeling
1,0,339382,1355456.0,Emotion Labeling
1,0,339382,1355457.0,Emotion Labeling
1,0,339389,1355457.0,Emotion Labeling
1,0,339389,1355456.0,Emotion Labeling
1,1,339391,1355456.0,Emotion Labeling
1,1,339391,1355457.0,Emotion Labeling
0,1,339392,1355456.0,Emotion Labeling
1,1,339392,1355457.0,Emotion Labeling
1,1,339396,1355456.0,Emotion Labeling
1,1,339396,1355457.0,Emotion Labeling
0,0,339407,1355457.0,Emotion Labeling
1,0,339407,1355456.0,Emotion Labeling
0,0,339442,1355457.0,Emotion Labeling
0,0,339442,1355456.0,Emotion Labeling
1,0,339452,1355456.0,Emotion Labeling
1,0,339452,1355457.0,Emotion Labeling
1,0,339460,1355457.0,Emotion Labeling
1,0,339460,1355456.0,Emotion Labeling
